timestamp,event,seq,retries,rtt_ms,note
1780678522.2738094,SUCCESS,0,0,0.0,
1780678522.2738094,SUCCESS,1,0,0.0,
1780678522.2738094,SUCCESS,2,0,0.0,
1780678522.2738094,SUCCESS,3,0,0.0,
1780678522.2738094,SUCCESS,4,0,0.0,
1780678522.2738094,SUCCESS,5,0,0.0,
1780678522.2738094,SUCCESS,6,0,0.0,
1780678522.2738094,SUCCESS,7,0,0.0,
1780678522.2738094,SUCCESS,8,0,0.0,
1780678522.2738094,SUCCESS,9,0,0.0,
1780678522.2738094,SUCCESS,10,0,0.0,
1780678522.2738094,SUCCESS,11,0,0.0,
1780678522.2738094,SUCCESS,12,0,0.0,
1780678522.2738094,SUCCESS,13,0,7.728,
1780678522.281537,SUCCESS,14,0,0.0,
1780678522.281537,SUCCESS,15,0,0.0,
1780678522.281537,SUCCESS,16,0,0.0,
1780678522.281537,SUCCESS,17,0,1.895,
1780678522.2834318,SUCCESS,18,0,0.0,
1780678522.2834318,SUCCESS,19,0,0.0,
1780678522.2834318,SUCCESS,20,0,0.0,
1780678522.2834318,SUCCESS,21,0,0.0,
1780678522.2834318,SUCCESS,22,0,0.0,
1780678522.2834318,SUCCESS,23,0,0.0,
1780678522.2834318,SUCCESS,24,0,0.0,
